nama_pembeli,nilai_transaksi,tanggal_transaksi
"Diah Mahendra",21142000,2019-12-24
"Dian Winarsih",22966000,2019-12-21
"dr. Yulia Waskita",29930000,2019-12-28
"drg. Kajen Siregar",27893500,2019-12-10
"Drs. Ayu Lailasari",22300000,2019-12-09
"Hendri Habibi",21815000,2019-12-19
"Kartika Habibi",25760000,2019-12-22
"Lasmanto Natsir",22845000,2019-12-27
"R.A. Betania Suryono",20523000,2019-12-07
"Syahrini Tarihoran",29631000,2019-12-05
"Tgk. Hamima Sihombing, M.Kom.",29351400,2019-12-25
"Tgk. Lidya Lazuardi, S.Pt",20447000,2019-12-16
